District Code ,School Code,School Name,Grade,Number Enrolled
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 6,14
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 7,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 8,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 9,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 10,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 11,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 12,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Secondary Special Education,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Secondary GED,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Total Enrollment,150
0220,000,District Level Data,Pre-Kindergarten,99
0220,000,District Level Data,Special Education Pre-K,*
0220,000,District Level Data,Kindergarten,240
0220,000,District Level Data,Special Education Kindergarten,*
0220,000,District Level Data,Elementary Special Education,28
0220,000,District Level Data,Grade 1,280
